cod_mun,municipio,ano_mes,temp_media_c,temp_min_c,temp_max_c,temp_amplitude_c,precip_mm,umidade_relativa_pct
520013,ACREUNA,2021-12,24.55,17.0,31.32,14.32,5.4,78.9
520013,ACREUNA,2021-13,24.85,5.6,41.13,35.53,3.2,60.0
520013,ACREUNA,2022-01,23.75,17.9,30.61,12.71,8.7,84.6
520013,ACREUNA,2022-02,24.25,18.48,30.39,11.91,6.4,83.0
520013,ACREUNA,2022-03,24.44,18.34,30.97,12.63,5.3,79.8
520013,ACREUNA,2022-04,24.09,10.9,33.01,22.11,0.7,71.5
520013,ACREUNA,2022-05,21.24,5.27,32.93,27.66,0.5,61.4
520013,ACREUNA,2022-06,22.52,10.72,33.24,22.52,0.3,53.9
520013,ACREUNA,2022-07,23.08,12.2,34.15,21.95,0.0,41.7
520013,ACREUNA,2022-08,24.45,9.04,35.63,26.59,0.0,37.7
520013,ACREUNA,2022-09,27.29,14.55,39.24,24.69,1.9,43.0
520013,ACREUNA,2022-10,26.66,17.12,37.64,20.52,3.2,61.9
520013,ACREUNA,2022-11,26.0,15.1,36.86,21.76,2.9,61.5
520013,ACREUNA,2022-12,24.67,17.33,34.16,16.83,6.2,79.0
520013,ACREUNA,2022-13,24.36,5.27,39.24,33.97,3.0,63.1
520013,ACREUNA,2023-01,23.84,18.93,30.05,11.12,6.5,83.3
520013,ACREUNA,2023-02,24.3,19.23,30.76,11.53,5.1,82.7
520013,ACREUNA,2023-03,23.8,17.73,31.01,13.28,4.2,81.8
520013,ACREUNA,2023-04,23.97,13.86,31.7,17.84,2.4,77.4
520013,ACREUNA,2023-05,21.83,9.88,32.45,22.57,0.2,63.6
520013,ACREUNA,2023-06,21.43,10.53,32.87,22.34,0.1,57.8
520013,ACREUNA,2023-07,23.22,10.77,33.4,22.63,0.0,45.8
520013,ACREUNA,2023-08,26.25,14.89,37.29,22.4,1.0,42.3
520013,ACREUNA,2023-09,29.89,18.09,42.31,24.22,1.0,42.1
520013,ACREUNA,2023-10,29.74,20.58,39.82,19.24,3.0,56.6
520013,ACREUNA,2023-11,28.99,18.55,40.04,21.49,5.5,58.2
520013,ACREUNA,2023-12,28.98,20.51,39.3,18.79,3.1,59.5
520013,ACREUNA,2023-13,25.52,9.88,42.31,32.43,2.7,62.5
520013,ACREUNA,2024-01,27.14,18.04,36.32,18.28,3.8,68.2
520013,ACREUNA,2024-02,26.77,18.68,36.9,18.22,4.3,70.3
520013,ACREUNA,2024-03,27.02,20.16,37.94,17.78,6.5,73.9
520013,ACREUNA,2024-04,24.85,15.35,32.43,17.08,3.6,76.3
520013,ACREUNA,2024-05,24.02,12.82,34.15,21.33,0.0,54.9
520013,ACREUNA,2024-06,23.61,12.9,33.19,20.29,0.0,43.5
