cod_mun,ano_mes,pct_territorio_queimado
520740,2023-01,0.3132
520740,2024-01,0.2619
520740,2025-01,
520750,2017-01,0.2095
520750,2018-01,0.3428
520750,2020-01,0.0646
520750,2021-01,0.0652
520750,2022-01,0.0314
520750,2023-01,0.2233
520750,2024-01,0.0
520750,2025-01,
520753,2017-01,1.4104
520753,2018-01,0.1012
520753,2020-01,0.1582
520753,2021-01,0.1333
520753,2022-01,0.5513
520753,2023-01,0.0435
520753,2024-01,0.0725
520753,2025-01,
520760,2017-01,0.3602
520760,2018-01,0.077
520760,2020-01,0.0668
520760,2021-01,1.6416
520760,2022-01,0.1322
520760,2023-01,0.0751
520760,2024-01,0.4592
520760,2025-01,
520780,2017-01,0.2792
520780,2018-01,0.5886
520780,2020-01,1.3689
520780,2021-01,1.162
520780,2022-01,0.7714
520780,2023-01,0.4481
520780,2024-01,0.0818
520780,2025-01,
520790,2017-01,0.8947
520790,2018-01,3.8146
520790,2020-01,0.8455
520790,2021-01,6.2998
520790,2022-01,1.8972
520790,2023-01,1.072
520790,2024-01,0.1873
520790,2025-01,
520800,2017-01,7.2257
520800,2018-01,1.3047
520800,2020-01,2.6075
520800,2021-01,8.9438
520800,2022-01,1.2831
520800,2023-01,1.5689
520800,2024-01,5.3947
520800,2025-01,
520810,2017-01,2.28
520810,2018-01,0.1184
520810,2020-01,0.4929
520810,2021-01,0.0347
520810,2022-01,0.9974
520810,2023-01,0.0344
520810,2024-01,0.1246
520810,2025-01,
520815,2017-01,0.103
520815,2018-01,0.0327
520815,2020-01,0.0586
520815,2021-01,0.0927
520815,2022-01,0.0128
520815,2023-01,0.0217
520815,2024-01,0.0629
520815,2025-01,
520830,2017-01,0.5014
520830,2018-01,0.2031
520830,2020-01,0.4805
520830,2021-01,1.3426
520830,2022-01,0.1937
520830,2023-01,0.2717
520830,2024-01,1.3951
520830,2025-01,
520840,2017-01,0.8987
520840,2018-01,0.4153
520840,2020-01,3.4456
520840,2021-01,0.1825
520840,2022-01,0.3883
520840,2023-01,0.1847
520840,2024-01,1.1244
520840,2025-01,
520850,2017-01,0.0152
520850,2018-01,0.0025
520850,2020-01,0.0182
520850,2021-01,0.0256
520850,2022-01,0.0223
520850,2023-01,0.0745
520850,2024-01,0.0354
520850,2025-01,
520860,2017-01,2.3586
520860,2018-01,1.0909
520860,2020-01,3.044
520860,2021-01,1.8848
520860,2022-01,2.7132
520860,2023-01,2.552
520860,2024-01,1.9328
520860,2025-01,
520870,2017-01,1.8413
520870,2018-01,1.1923
520870,2020-01,2.2351
520870,2021-01,1.2181
520870,2022-01,0.839
520870,2023-01,0.6231
520870,2024-01,1.8606
520870,2025-01,
