cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
522100;TAQUARAL DE GOIAS;66,67;78,79;133,33;117,95;111,32;56,76;163,16;102,63;77,78;91,67;108,33;128,89;53,06
522108;TERESINA DE GOIAS;97,87;148,94;85,11;130;160,47;110,81;111,11;138,89;108,33;75;54,17;106,67;136,84
522119;TEREZOPOLIS DE GOIAS;111,58;94,74;122,11;112,38;103,92;102,7;95,74;137,23;130,63;83,21;86,26;100;113,79
522130;TRES RANCHOS;122,22;133,33;107,41;96,15;90,91;102,78;100;68,42;150;71,43;60,71;77,78;100
522140;TRINDADE;101,82;95,64;125,64;104,38;127,96;137,91;118,12;98,79;107,27;102,9;96,08;91,2;83,79
522145;TROMBAS;92,31;76,92;94,87;176,92;50;95,83;72;108;70,97;82,35;79,41;121,74;129,17
522150;TURVANIA;115,56;120;108,89;112,07;166,67;98,31;94,92;55,93;62,75;98,18;58,18;100;114,81
522155;TURVELANDIA;78,87;104,23;133,8;100;118,46;111,76;85,33;81,33;118,46;153,95;68,42;156,36;85,71
522157;UIRAPURU;133,33;133,33;86,11;103,7;185;178,95;67,57;67,57;125;77,27;59,09;80;96,77
522160;URUACU;112,45;102,68;106,7;118,63;101,22;84,34;73,3;72,45;102,51;92,01;72,45;84,18;85,85
522170;URUANA;96,53;107,64;121,53;162,12;174,68;60,96;97,67;96,12;114,6;93,46;66,01;67,76;117,04
522180;URUTAI;106,25;137,5;187,5;138,71;148;100;115,38;92,31;111,76;163,64;145,45;330,77;162,5
522185;VALPARAISO DE GOIAS;121,91;184,45;136,6;140,75;133,3;102,71;90,8;88,49;90,97;85,01;62,98;76,56;84,34
522190;VARJAO;128,12;96,88;137,5;340,74;248,57;115,22;102,04;73,47;105,26;100;165,85;100;131,03
522200;VIANOPOLIS;99,45;164,09;105,52;108,16;113,87;113,41;114,05;89,19;115,38;112,76;120,92;97,96;116,86
522205;VICENTINOPOLIS;110,4;105,6;95,2;98,29;127,62;117,59;98,44;82,03;100;100;70;92,86;109,35
522220;VILA BOA;107,41;106,17;112,35;181,54;205,63;116;107,14;78,57;89,83;83,61;109,84;126;113,73
522230;VILA PROPICIO;108,33;137,5;170,83;96,77;83,61;51,52;77,59;103,45;127,08;93,94;84,85;42,25;83,02
