cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521300;MAURILANDIA;32,96;36,92;42,86;70,71;56,57;73,2;83,22;71,81;20,73;16,97
521305;MIMOSO DE GOIAS;216,67;140;126,67;140;105;190,91;123,53;105,88;0;27,78
521308;MINACU;102,67;101,12;64,49;71,71;71,94;61,52;70,77;55,45;42,26;56,22
521310;MINEIROS;46,53;57,2;51,96;85,6;60,73;67,63;73,41;67,13;55,87;55,93
521340;MOIPORA;110;53,85;212,5;150;131,25;35;160;240;37,5;18,75
521350;MONTE ALEGRE DE GOIAS;61,11;65,09;56,41;85,48;58,06;33,91;76,92;82,42;23,23;35,16
521370;MONTES CLAROS DE GOIAS;96,43;109,47;69,57;123,16;87,37;91,46;79,13;91,3;72,63;95,45
521375;MONTIVIDIU;65,77;73,99;103,09;94,39;69,39;84,36;95,21;61,08;28,19;100,65
521377;MONTIVIDIU DO NORTE;20,45;100;85,37;132,26;90,32;55,26;64,86;40,54;16;23,08
521380;MORRINHOS;99,05;81,88;63,16;94,91;86,11;96,47;86,89;93,52;74,23;64,94
521385;MORRO AGUDO DE GOIAS;91,43;219,44;73,33;125;100;70,37;100;123,81;31,82;15,62
521390;MOSSAMEDES;110,71;102,27;53,49;146,67;84,44;66,1;106,52;56,52;97,67;68,75
521400;MOZARLANDIA;66,36;85,51;70,16;112,95;100,52;110,73;79,91;55,25;47,04;65,31
521405;MUNDO NOVO;36,23;95,77;60,81;163,01;97,26;106,85;103,95;146,05;61,29;82,09
521410;MUTUNOPOLIS;63,46;42;53,57;61,11;70,37;54,55;95,65;73,91;91,67;88,24
521440;NAZARIO;42,25;143,75;49,06;78,95;84,21;78,26;75,26;27,84;22,35;27,66
521450;NEROPOLIS;74,79;177,25;74,62;99,56;81,58;80,45;82,05;87,97;47,21;55,58
521460;NIQUELANDIA;19,08;79,78;43;71,81;65,44;76,29;77,44;68,98;79,29;59,35
521470;NOVA AMERICA;166,67;224;96,97;159,26;85,19;150;96,3;129,63;27,59;11,43
521480;NOVA AURORA;58,33;90;75;164,71;129,41;79,17;44;96;41,67;85,71
521483;NOVA CRIXAS;64,37;79,39;79,07;116,67;101,28;85,28;94,51;99,39;69,32;59,49
