cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
522020;SAO MIGUEL DO ARAGUAIA;95,37;108,19;61,21;102,42;79,56;78,96;87,84;100,91;80,12;56,69;70,7;62,1;77,81
522026;SAO MIGUEL DO PASSA QUATRO;85,19;109,26;87,04;186,11;152,08;177,42;111,11;80,56;148,48;107,14;153,57;129,03;119,35
522028;SAO PATRICIO;118,75;156,25;56,25;139,13;186,67;146,67;180;96;75;75;79,17;135;122,22
522040;SAO SIMAO;99,08;105,5;118,35;94,7;73,21;96,97;81,43;75,36;76,05;64,89;71,28;57,81;72,86
522045;SENADOR CANEDO;102,11;107,67;83,15;120,68;87,37;86,75;84,73;76,59;79,13;54,05;64,92;61,84;79,95
522050;SERRANOPOLIS;110,98;110,98;102,44;148,84;190,54;131,25;107,87;125,84;104,82;93,83;114,81;98,92;75,24
522060;SILVANIA;94,59;80,31;82,63;91,09;85,99;80,41;64,05;73,97;74,18;66,53;80,08;64,58;64,22
522068;SIMOLANDIA;106,59;107,69;115,38;88,79;88,1;72,07;84,95;90,32;135,38;77,78;72,22;56,12;80,26
522070;SITIO D\'ABADIA;80,65;70,97;80,65;414,29;103,7;95,65;68,18;100;176,47;152,63;142,11;53,57;124
522100;TAQUARAL DE GOIAS;106,06;118,18;93,94;102,56;56,6;64,86;173,68;107,89;77,78;61,11;175;84,44;71,43
522108;TERESINA DE GOIAS;97,87;140,43;91,49;97,5;81,4;89,19;88,89;163,89;62,5;70,83;58,33;95,56;121,05
522119;TEREZOPOLIS DE GOIAS;112,63;118,95;114,74;102,86;113,73;100,9;124,47;114,89;103,6;54,96;90,84;87,5;104,6
522130;TRES RANCHOS;148,15;133,33;103,7;88,46;112,12;102,78;81,58;84,21;131,82;67,86;67,86;59,26;105,56
522140;TRINDADE;91,5;97,31;65,72;110,21;99,36;105,42;103,52;77,64;90,7;77,56;69,67;71,76;71,99
522145;TROMBAS;110,26;100;87,18;138,46;65,22;104,17;52;120;116,13;52,94;97,06;165,22;95,83
522150;TURVANIA;133,33;104,44;97,78;108,62;146,67;98,31;76,27;62,71;84,31;98,18;63,64;128,95;83,33
522155;TURVELANDIA;94,37;105,63;105,63;94,2;121,54;97,06;81,33;94,67;107,69;130,26;92,11;125,45;65,71
522157;UIRAPURU;108,33;125;69,44;129,63;180;168,42;75,68;83,78;130;109,09;95,45;80;83,87
522160;URUACU;100,38;106,51;61,49;90,76;91,81;78,87;80,27;73,64;90,86;73,98;61,22;77,89;73,21
522170;URUANA;97,22;128,47;104,86;199,24;173,42;75,34;91,47;108,53;85,4;75,16;38,56;64,47;85,93
522180;URUTAI;156,25;218,75;150;109,68;140;78,79;88,46;103,85;194,12;113,64;140,91;315,38;100
522185;VALPARAISO DE GOIAS;101,95;119,97;86,53;101,6;85,8;97,29;97,58;83,03;79,07;54,81;66,13;79,16;89,23
522190;VARJAO;131,25;134,38;96,88;303,7;120;97,83;95,92;73,47;100;80,49;178,05;121,88;117,24
522200;VIANOPOLIS;97,79;91,71;80,66;101,02;100,58;115,24;97,84;92,97;127,22;85,71;93,88;92,35;105,81
522205;VICENTINOPOLIS;87,2;104,8;102,4;115,38;111,43;121,3;89,06;78,91;124,53;77,27;115,45;69,64;69,06
522220;VILA BOA;132,1;104,94;109,88;166,15;150,7;112;92,86;98,57;101,69;95,08;109,84;134;137,25
522230;VILA PROPICIO;133,33;158,33;147,92;108,06;62,3;43,94;74,14;108,62;108,33;59,09;72,73;50,7;92,45
