cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521225;LAGOA SANTA;20;220;220;126,32;104,76;180;138,89;94,44;55;93,33;100;210;263,64
521230;LEOPOLDO DE BULHOES;15,38;115,38;102,56;128,17;47,37;102,82;73,27;103,96;106,8;105,26;122,11;71,96;108,7
521250;LUZIANIA;13,82;99,09;90,39;98,34;98,38;69,18;75,45;86,97;84,86;80,43;91,89;77,03;89,7
521260;MAIRIPOTABA;23,08;223,08;146,15;430,77;100;140,74;100;112;136,36;66,67;80;114,29;60,71
521270;MAMBAI;19,35;131,18;119,35;179,78;86,49;105,56;115,93;133,63;98,23;113,82;120,33;96,67;104,84
521280;MARA ROSA;1,53;100,76;95,42;78,72;101,54;182,03;68,46;112,31;96,43;120;107,2;59,65;99,21
521290;MARZAGAO;29,41;188,24;170,59;116,67;94,12;90,62;190;83,33;97,06;92,11;86,84;84,38;102,44
521295;MATRINCHA;2;94;98;94,92;178,43;67,24;127,08;114,58;106,98;100;115,56;111,76;90,32
521300;MAURILANDIA;2,75;90,83;94,04;135,2;80,84;88,89;80,3;57,58;114,38;91,28;97,32;56,1;69,7
521305;MIMOSO DE GOIAS;30;220;160;205,56;153,33;146,67;140;155;90,91;182,35;194,12;87,5;122,22
521308;MINACU;18,11;88,27;87,65;103,11;108,95;100,22;93,32;87,53;74,42;77,49;71,93;87,66;87,3
521310;MINEIROS;9,71;98,56;90,29;111,28;143,91;112,34;85,78;85,87;84,31;77,21;79,03;58,94;83,57
521340;MOIPORA;23,53;64,71;88,24;180;69,23;412,5;137,5;68,75;45;360;280;87,5;150
521350;MONTE ALEGRE DE GOIAS;17,86;80,71;62,14;75;86,79;92,31;80,65;68,55;93,91;108,79;82,42;87,88;94,51
521370;MONTES CLAROS DE GOIAS;34,48;218,97;168,97;116,07;93,68;110,87;127,37;104,21;130,49;83,48;73,91;112,63;119,32
521375;MONTIVIDIU;31,41;135,9;133,97;121,48;109,25;95,68;103,06;104,59;101,12;101,8;74,25;95,74;122,22
521377;MONTIVIDIU DO NORTE;2,94;73,53;102,94;95,45;161,29;85,37;90,32;129,03;105,26;121,62;59,46;66;90,38
521380;MORRINHOS;23,33;106,88;96,94;103,6;95,47;94,74;90,9;93,67;109,35;97;97,79;86,2;97,58
521385;MORRO AGUDO DE GOIAS;40,91;200;131,82;142,86;183,33;113,33;112,5;95,83;88,89;109,52;166,67;90,91;75
521390;MOSSAMEDES;0;74,36;125,64;153,57;79,55;134,88;117,78;82,22;111,86;84,78;113,04;127,91;87,5
521400;MOZARLANDIA;8,78;89,76;109,27;105,14;78,97;89,53;125,91;131,61;123,73;101,83;102,28;70,74;91,02
521405;MUNDO NOVO;11,25;87,5;72,5;97,1;105,63;117,57;105,48;127,4;100;134,21;92,11;82,8;123,88
521410;MUTUNOPOLIS;41,3;78,26;95,65;67,31;30;60,71;85,19;94,44;62,12;86,96;113,04;88,89;92,16
521440;NAZARIO;27,91;118,6;118,6;121,13;117,71;78,3;83,16;103,16;96,74;105,15;28,87;124,71;98,94
521450;NEROPOLIS;13,14;135,14;118;118,84;112,25;98,21;112,06;130,26;100;90,34;95,66;72,75;91,63
521460;NIQUELANDIA;49,45;93,03;76,39;97,27;55,81;56,17;77,03;74,52;88,5;84,82;69,41;82,83;78,06
521470;NOVA AMERICA;28,57;117,86;153,57;233,33;232;90,91;122,22;92,59;135;137,04;181,48;86,21;65,71
521480;NOVA AURORA;30;120;135;79,17;120;87,5;176,47;105,88;83,33;28;40;150;271,43
521483;NOVA CRIXAS;8,29;67,88;67,36;78,74;93,94;75;121,79;103,21;101,23;103,66;103,66;78,98;100,63
521486;NOVA GLORIA;0;163,22;109,2;133,73;117,24;93,18;100;103,23;78,57;88,89;88,89;59,21;89,19
521487;NOVA IGUACU DE GOIAS;30,3;127,27;127,27;118,75;124,14;168,97;124,32;118,92;97,44;111,54;165,38;233,33;112,5
