cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521460;NIQUELANDIA;19,08;66,85;36,21;71,81;61,78;64,32;68,33;47,29;7,58;17,09
521470;NOVA AMERICA;83,33;160;75,76;159,26;85,19;135;81,48;111,11;0;8,57
521480;NOVA AURORA;33,33;75;20,83;164,71;105,88;70,83;44;84;41,67;85,71
521483;NOVA CRIXAS;17,82;47,27;51,74;116,67;95,51;70,55;89,63;75;7,95;13,29
521486;NOVA GLORIA;102,41;33,33;27,27;103,23;80,65;67,35;65,56;27,78;0;12,16
521487;NOVA IGUACU DE GOIAS;43,75;137,93;86,21;81,08;121,62;76,92;119,23;107,69;50;37,5
521490;NOVA ROMA;75,76;38,71;18,18;133,33;73,33;45,83;89,19;64,86;0;38,71
521500;NOVA VENEZA;48,42;82,14;60,47;99,03;60,19;85,57;100,89;89,29;8,14;21,65
521520;NOVO BRASIL;56,25;75;61,29;69,39;71,43;36,54;133,33;73,33;40,43;56,67
521523;NOVO GAMA;36,81;113,11;42,38;62,55;58,63;57,48;76,22;58,02;10,78;25,3
521525;NOVO PLANALTO;9,09;53,19;43,59;124,24;39,39;62,5;78,69;49,18;48,65;69,77
521530;ORIZONA;71,63;57,58;53,59;97,66;54,97;66,67;53,92;56,37;10,82;19,27
521540;OURO VERDE DE GOIAS;48,72;29,55;90;105;75;113,51;94,12;72,55;14,29;23,4
521550;OUVIDOR;42,86;68,75;55,88;126,47;83,82;68,49;112;73,33;7,14;28,26
521560;PADRE BERNARDO;22,19;32,3;50,53;81,03;78,35;58,86;60,99;44,83;3,29;18,34
521565;PALESTINA DE GOIAS;12,96;67,65;80,49;113,64;70,45;76,92;50,94;28,3;12,5;36,36
521570;PALMEIRAS DE GOIAS;19,92;109,85;25,08;80,97;57,64;76,47;82,92;46,53;2,09;13,75
521580;PALMELO;33,33;223,81;35;223,08;107,69;95;165;115;9,52;40
521590;PALMINOPOLIS;50;89,47;80,49;115,91;140,91;81,4;109,3;97,67;8,33;17,46
521600;PANAMA;28,12;95,45;95,24;115;57,5;82,76;100;80,77;22,22;30
521630;PARANAIGUARA;34,13;33,09;48,7;78,23;71,77;53,64;80,77;72,12;20,43;24,1
521640;PARAUNA;26,62;113,79;58,33;111,64;79,45;71,43;77,58;63,64;8,55;19,63
521645;PEROLANDIA;6,38;59,57;44,19;86,96;69,57;64,86;83,33;41,67;33,33;32,61
521680;PETROLINA DE GOIAS;109,52;31,25;60,67;123,53;70,59;90,12;98,72;74,36;20,78;15,38
521690;PILAR DE GOIAS;35,48;51,85;108;65,79;57,89;86,11;42,11;63,16;0;7,5
521710;PIRACANJUBA;61,87;28,11;57,42;117,18;64,32;79,34;72,24;75,51;0;23,73
521720;PIRANHAS;10,77;60,36;53,51;111,76;66,18;61,19;83,2;57,6;9,26;15,75
521730;PIRENOPOLIS;44,25;81,63;82,46;108,33;56,88;63,08;64,77;57,65;12,38;24,91
521740;PIRES DO RIO;50,57;54,89;56,94;102,54;72,39;62,14;77,06;51,99;14,5;20,54
521760;PLANALTINA;9,3;106,84;68,16;87,4;64,13;54,94;50,37;36,2;6,35;12,3
521770;PONTALINA;17,93;86,7;75,12;71,08;48,04;57,35;82,61;58,45;8,51;29,67
521800;PORANGATU;20,55;58,73;35,84;77,41;50,57;56,21;109,89;70,85;15,15;16,26
521805;PORTEIRAO;25;40;72,09;176,32;89,47;54,17;100;50,94;28,57;17,07
