cod_mun,municipio,n_meses_teste,casos_reais_total,MAE_pred_Poisson_GLM,RMSE_pred_Poisson_GLM,vies_pred_Poisson_GLM,MAPE_pred_Poisson_GLM,MAE_pred_Random_Forest,RMSE_pred_Random_Forest,vies_pred_Random_Forest,MAPE_pred_Random_Forest,MAE_pred_GradientBoosting,RMSE_pred_GradientBoosting,vies_pred_GradientBoosting,MAPE_pred_GradientBoosting,MAE_pred_XGBoost,RMSE_pred_XGBoost,vies_pred_XGBoost,MAPE_pred_XGBoost
521483,NOVA CRIXAS,6,0.0,0.012811707299110431,0.013553019659451838,0.012811707299110431,,0.0194563017244145,0.02039021483107135,0.0194563017244145,,0.0036366721295513333,0.004107672127218851,0.0036366721295513333,,0.00015522081178333334,0.00023917163531972117,0.00015522081178333334,
521160,IVOLANDIA,6,0.0,0.013114017971609717,0.014164555611384284,0.013114017971609717,,0.0154777765813094,0.018312067781165668,0.0154777765813094,,0.0011984266099994833,0.001480154809194436,0.0011984266099994833,,4.884520696499999e-06,8.85843693457108e-06,4.884520696499999e-06,
520680,DAMOLANDIA,6,0.0,0.01322333899320875,0.014784240515197,0.01322333899320875,,0.034867481901363066,0.03680403720025452,0.034867481901363066,,0.002909238219613666,0.0037615557229793693,0.002909238219613666,,0.00017259090733333336,0.00024035639017138145,0.00017259090733333336,
520750,ESTRELA DO NORTE,6,0.0,0.013282516455172267,0.014009325334519132,0.013282516455172267,,0.013645745517075153,0.013898155299060917,0.013645745517075153,,0.0011081826413970334,0.0012425769353930603,0.0011081826413970334,,4.11649154e-06,5.826617296063637e-06,4.11649154e-06,
520505,CASTELANDIA,6,0.0,0.013536278404080468,0.01492390715733226,0.013536278404080468,,0.023175686361889814,0.02998100862859449,0.023175686361889814,,0.00200926708040565,0.0026763509985005592,0.00200926708040565,,1.4260955016666667e-05,2.5281334572303755e-05,1.4260955016666667e-05,
522015,SAO LUIZ DO NORTE,6,0.0,0.013918975008581585,0.014674531183166393,0.013918975008581585,,0.0122682902411251,0.013783859285787998,0.0122682902411251,,0.0045137301575947,0.005574231284487128,0.0045137301575947,,3.9824174500000004e-05,5.362797874237983e-05,3.9824174500000004e-05,
520710,DIORAMA,6,0.0,0.013947186483331285,0.015289524417411715,0.013947186483331285,,0.022665415268524548,0.024548567723528234,0.022665415268524548,,0.0029100557692246496,0.004176666359451686,0.0029100557692246496,,0.00040590781526,0.0006549979290415575,0.00040590781526,
521565,PALESTINA DE GOIAS,6,0.0,0.013960997479496364,0.015374879023846903,0.013960997479496364,,0.016941973282826952,0.02009641361670604,0.016941973282826952,,0.002894936601378883,0.003163045511217553,0.002894936601378883,,2.8883378300000007e-05,4.687732868221198e-05,2.8883378300000007e-05,
520150,APORE,6,0.0,0.015091885482553134,0.017823121418201488,0.015091885482553134,,0.030447665554030213,0.03695067339521605,0.030447665554030213,,0.0252731690669163,0.0297914355215137,0.0252731690669163,,0.0005313263733333333,0.0006943479949609595,0.0005313263733333333,
520725,DOVERLANDIA,6,0.0,0.015425415127361267,0.016818403122132976,0.015425415127361267,,0.016677492949619534,0.017684279638121147,0.016677492949619534,,0.0031967109292665996,0.003334807911701997,0.0031967109292665996,,0.00024989698499999996,0.00034538232326456055,0.00024989698499999996,
521100,ITAPIRAPUA,6,0.0,0.016390168262763485,0.01782466379548403,0.016390168262763485,,0.015702179020408834,0.01712371953311974,0.015702179020408834,,0.0017671725002237333,0.0022105479419336515,0.0017671725002237333,,1.687666788333333e-05,2.4800263468881382e-05,1.687666788333333e-05,
520790,FLORES DE GOIAS,6,0.0,0.016822931382252285,0.017366911151586218,0.016822931382252285,,0.015748235908555817,0.017083387846114375,0.015748235908555817,,0.00641031585652305,0.0068856699815991115,0.00641031585652305,,0.00015211247733333332,0.00018357880724878919,0.00015211247733333332,
520170,ARAGARCAS,6,0.0,0.017261772095988018,0.018562521774851033,0.017261772095988018,,0.03043103140172145,0.0340478532101557,0.03043103140172145,,0.011605267107220584,0.014391665173126664,0.011605267107220584,,0.0007659963563333332,0.0012480374858628968,0.0007659963563333332,
521375,MONTIVIDIU,6,0.0,0.017379246472333767,0.018992219526304907,0.017379246472333767,,0.0432808597766747,0.04940799249045407,0.0432808597766747,,0.009468441790108816,0.011898798586247605,0.009468441790108816,,0.001131309635,0.0021066618931232656,0.001131309635,
521040,ITABERAI,6,0.0212278169313067,0.01775808510785005,0.019272580748123425,0.01775808510785005,63.131093055736876,0.02589419483356888,0.028125417698275725,0.02589419483356888,64.97016713909328,0.015557359412085733,0.01702202639765491,0.010421818135951432,72.57752353084066,0.007055313688551116,0.009471172636404956,0.00040144991144888366,94.03506444351997
522150,TURVANIA,6,0.0,0.01792673327747725,0.019800660019588013,0.01792673327747725,,0.027465969555114766,0.032429820340828745,0.027465969555114766,,0.0017711104543853837,0.001982314702669128,0.0017711104543853837,,3.324030283333334e-05,5.013357803627366e-05,3.324030283333334e-05,
520810,FORMOSO,6,0.0,0.017960359553732434,0.01823907852983049,0.017960359553732434,,0.013804197844681615,0.013899747152054541,0.013804197844681615,,0.0018691537478330003,0.0019108169493586185,0.0018691537478330003,,4.507464866666667e-05,6.173296314407574e-05,4.507464866666667e-05,
