cod_mun,municipio,populacao,taxa_baseline,taxa_simulada,delta_abs,delta_pct,casos_baseline,casos_simulados,delta_casos
521400,MOZARLANDIA,14442.0,0.0030202328804947143,0.0007505483688143084,-0.002269684511680406,-75.14932131023723,44,11,-33
521405,MUNDO NOVO,6479.0,0.004879289083098427,0.0009879620839893448,-0.003891326999109082,-79.75192559482511,32,6,-26
521410,MUTUNOPOLIS,3745.0,0.0103435164520266,0.00623366263086139,-0.004109853821165211,-39.73362289533526,39,23,-16
521440,NAZARIO,8210.0,0.0008550746005972153,0.0007185327134266222,-0.00013654188717059318,-15.968418086004114,7,6,-1
521450,NEROPOLIS,28760.0,0.24946266246317209,0.2974200691719763,0.04795740670880419,19.224282397725187,7175,8554,1379
521460,NIQUELANDIA,39459.0,0.0008638988023076177,0.0006979463369512836,-0.00016595246535633411,-19.209711243151098,34,28,-6
521470,NOVA AMERICA,2333.0,0.0005166189380384742,0.0003898024022990743,-0.00012681653573939992,-24.547403589365803,1,1,0
521480,NOVA AURORA,2141.0,1.5902606022250196e-05,1.366801569783192e-05,-2.2345903244182757e-06,-14.051724109191536,0,0,0
521483,NOVA CRIXAS,12684.0,0.0010345190912000822,0.0002272164573881048,-0.0008073026338119775,-78.0365138429176,13,3,-10
521486,NOVA GLORIA,8633.0,2.3669310470806846e-05,1.3176863793705767e-05,-1.049244667710108e-05,-44.329329703297475,0,0,0
521487,NOVA IGUACU DE GOIAS,3005.0,0.006068043059589439,0.004695457446148757,-0.0013725856134406819,-22.619905626272047,18,14,-4
521490,NOVA ROMA,3319.0,1.913198296119528e-05,8.119407731698239e-06,-1.101257522949704e-05,-57.56107587924082,0,0,0
521500,NOVA VENEZA,9070.0,1.2143290053687202e-05,1.5523017508745024e-05,3.379727455057822e-06,27.83205737584764,0,0,0
521520,NOVO BRASIL,3580.0,0.0014223443673710093,0.0012313755817343606,-0.00019096878563664875,-13.426339641617592,5,4,-1
521523,NOVO GAMA,104158.0,0.0016526149739038948,0.0017775170028629884,0.00012490202895909367,7.557842021971002,172,185,13
521525,NOVO PLANALTO,3896.0,1.1566940801212953e-05,1.0167986850951433e-05,-1.3989539502615194e-06,-12.094416097597904,0,0,0
521530,ORIZONA,15659.0,0.0017994154075088946,0.0020221936973202656,0.00022277828981137095,12.380592545874917,28,32,4
521540,OURO VERDE DE GOIAS,4100.0,1.1257040525993125e-05,1.342791738855474e-05,2.170876862561615e-06,19.28461443795055,0,0,0
521550,OUVIDOR,6486.0,1.2738186538182225e-05,1.2769979046756296e-05,3.1792508574070427e-08,0.2495842597278161,0,0,0
521560,PADRE BERNARDO,32498.0,0.00015574303075025563,0.00017097845257313957,1.523542182288394e-05,9.78241000543707,5,6,1
521565,PALESTINA DE GOIAS,3284.0,0.007770150831087505,0.00624861363832532,-0.0015215371927621854,-19.581823131086274,26,21,-5
521570,PALMEIRAS DE GOIAS,28099.0,0.010836063034302547,0.009195506520482172,-0.0016405565138203747,-15.139783781499272,304,258,-46
521580,PALMELO,2322.0,0.0011198123491663384,0.0011929909924952504,7.317864332891198e-05,6.53490233282308,3,3,0
521590,PALMINOPOLIS,3765.0,0.000844490083256592,0.0006967744179424174,-0.0001477156653141746,-17.49169922097147,3,3,0
521600,PANAMA,2607.0,0.0036554393915990227,0.003720443298343855,6.500390674483254e-05,1.778278881992281,10,10,0
521630,PARANAIGUARA,8476.0,0.04533934355198795,0.03976141304900212,-0.005577930502985835,-12.302627400394432,384,337,-47
521640,PARAUNA,11032.0,0.001904558260246685,0.0018946172868092377,-9.940973437447351e-06,-0.5219569096384461,21,21,0
521645,PEROLANDIA,3020.0,1.6524306855491185e-05,1.3922866980450437e-05,-2.6014398750407475e-06,-15.743110423879983,0,0,0
521680,PETROLINA DE GOIAS,10142.0,0.0028624510955271186,0.003089999073056198,0.00022754797752907964,7.949410136111926,29,31,2
521690,PILAR DE GOIAS,2529.0,1.065619508718276e-05,8.73077055010961e-06,-1.9254245370731487e-06,-18.068593164074517,0,0,0
521710,PIRACANJUBA,24910.0,0.039645159150684894,0.04058864428647554,0.0009434851357906435,2.379824311474215,988,1011,23
521720,PIRANHAS,11709.0,0.009832264036489567,0.00523101517167172,-0.004601248864817847,-46.79745018788816,115,61,-54
521730,PIRENOPOLIS,25677.0,0.02679579919043145,0.024146165716038025,-0.0026496334743934258,-9.88824201720241,688,620,-68
521740,PIRES DO RIO,31581.0,0.022239158319995657,0.017315804073365013,-0.004923354246630644,-22.138222030660042,702,547,-155
521760,PLANALTINA,97045.0,0.0153516204047142,0.014266387050628784,-0.0010852333540854152,-7.069177881392638,1490,1384,-106
521770,PONTALINA,18158.0,0.0008488618010125872,0.0008703989564857913,2.1537155473204048e-05,2.537180427663594,15,16,1
521800,PORANGATU,45115.0,0.02206061487113932,0.020277664426213884,-0.0017829504449254352,-8.082052360462402,995,915,-80
